time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,eul_roll,eul_pitch,eul_yaw,u_0,u_1,MPPI_time,cross-tracking_err,vel_err
0.0,-0.0005205825436860323,0.0034997276961803436,-0.0015400457195937634,-0.004214336629956961,0.004013036843389273,-0.00240780645981431,-0.017676065275917342,-0.022960204658887737,2.4264333744432878,0.5,2.0,nan,9999.0,4.993702172605976
0.0,-0.000552965619135648,0.003414952429011464,0.0021082244347780943,-0.004416361451148987,0.003565439721569419,-0.0021355629432946444,-0.017657839655651243,-0.022961585242851124,2.426431893677167,0.5,2.0,nan,9999.0,4.993935576040537
0.0,-0.000552965619135648,0.003414952429011464,0.0021082244347780943,-0.004416361451148987,0.003565439721569419,-0.0021355629432946444,-0.017637363634909413,-0.022950676581283785,2.4264300978231557,0.5,2.0,nan,9999.0,4.993935576040537
0.0,-0.0005870326422154903,0.003327828599140048,0.005653197877109051,-0.004575436469167471,0.0032101566903293133,-0.002092130482196808,-0.01756637585045627,-0.02292599935439073,2.4264304437648714,0.5,2.0,nan,9999.0,4.9940320242280665
0.0,-0.0005870326422154903,0.003327828599140048,0.005653197877109051,-0.004575436469167471,0.0032101566903293133,-0.002092130482196808,-0.01756637585045627,-0.02292599935439073,2.4264304437648714,0.5,2.0,nan,9999.0,4.9940320242280665
0.0,-0.0006217416957952082,0.0032383280340582132,0.009098399430513382,-0.004649869166314602,0.002839505672454834,-0.0017918592784553766,-0.017527517974668692,-0.022926137226363257,2.426429680876177,0.5,2.0,nan,9999.0,4.99426459806103
0.0,-0.0006217416957952082,0.0032383280340582132,0.009098399430513382,-0.004649869166314602,0.002839505672454834,-0.0017918592784553766,-0.017499813124072602,-0.02293198746992356,2.4264256105142583,0.5,2.0,nan,9999.0,4.99426459806103
0.0,-0.0006582232308574021,0.003147055162116885,0.01244742888957262,-0.00482206279411912,0.002468270715326071,-0.0015204038936644793,-0.017481659178215297,-0.02294001758258556,2.426419675620939,0.5,2.0,nan,9999.0,4.994373608801866
0.0,-0.0006582232308574021,0.003147055162116885,0.01244742888957262,-0.00482206279411912,0.002468270715326071,-0.0015204038936644793,-0.017460793606394784,-0.022947166433548282,2.4264174792961115,0.5,2.0,nan,9999.0,4.994373608801866
0.0,-0.0006954619893804193,0.0030523291788995266,0.015702441334724426,-0.00496581569314003,0.0018998314626514912,-0.0013077431358397007,-0.017433567752146505,-0.02295323652996987,2.4264167164072505,0.5,2.0,nan,9999.0,4.994524703004032
0.0,-0.0006954619893804193,0.0030523291788995266,0.015702441334724426,-0.00496581569314003,0.0018998314626514912,-0.0013077431358397007,-0.01740750767304539,-0.02295747516440607,2.426410501924543,0.5,2.0,nan,9999.0,4.994524703004032
0.0,-0.0007345271878875792,0.002955148695036769,0.0188662800937891,-0.005156768020242453,0.0015445458702743053,-0.0009978041052818298,-0.017385777897610123,-0.02295633119885166,2.426407248972858,0.5,2.0,nan,9999.0,4.994525194853468
0.0,-0.0007345271878875792,0.002955148695036769,0.0188662800937891,-0.005156768020242453,0.0015445458702743053,-0.0009978041052818298,-0.017370526010699217,-0.022952120511564936,2.426405128523767,0.5,2.0,nan,9999.0,4.994525194853468
0.0,-0.0007745841285213828,0.0028557204641401768,0.021072441712021828,-0.005191415548324585,0.0010834012646228075,-0.0006819549016654491,-0.017357308846054728,-0.022952247204804793,2.4263987126433273,0.5,2.0,nan,9999.0,4.994653074137088
0.0,-0.0007745841285213828,0.0028557204641401768,0.021072441712021828,-0.005191415548324585,0.0010834012646228075,-0.0006819549016654491,-0.01734499490656254,-0.02295571263768492,2.4263762784104976,0.5,2.0,nan,9999.0,4.994653074137088
0.0,-0.0008152653463184834,0.002753016073256731,0.023217320442199707,-0.005358453374356031,0.000509801902808249,-0.00046856413246132433,-0.017322105807182686,-0.02295380106015888,2.4263570284729763,0.5,2.0,nan,9999.0,4.99459699408741
0.0,-0.0008152653463184834,0.002753016073256731,0.023217320442199707,-0.005358453374356031,0.000509801902808249,-0.00046856413246132433,-0.017292633703165368,-0.02295295892271789,2.426339811237143,0.5,2.0,nan,9999.0,4.99459699408741
0.0,-0.0008575046085752547,0.0026474168989807367,0.02530365064740181,-0.005512756761163473,7.483875378966331e-05,-4.4519692892208695e-05,-0.017269686733980803,-0.022964819647557533,2.426328235177689,0.5,2.0,nan,9999.0,4.994486555527633
0.0,-0.0008575046085752547,0.0026474168989807367,0.02530365064740181,-0.005512756761163473,7.483875378966331e-05,-4.4519692892208695e-05,-0.0172515782166089,-0.02297457503095006,2.4263183199136424,0.5,2.0,nan,9999.0,4.994486555527633
0.0,-0.0009010906796902418,0.00254030991345644,0.02733290009200573,-0.005706096533685923,-0.00013409518578555435,0.0001811973052099347,-0.017233369032298208,-0.022974817238739724,2.4263039055320967,0.5,2.0,nan,9999.0,4.994289452597692
0.0,-0.0009010906796902418,0.00254030991345644,0.02733290009200573,-0.005706096533685923,-0.00013409518578555435,0.0001811973052099347,-0.017213323662944813,-0.02298263868793374,2.426284006358235,0.5,2.0,nan,9999.0,4.994289452597692
0.0,-0.0009478084975853562,0.002432296983897686,0.02930617146193981,-0.006302367430180311,-0.0005250758258625865,0.0005205383058637381,-0.01719327192702274,-0.022997908962971714,2.426263896175721,0.5,2.0,nan,9999.0,4.993654410982756
0.0,-0.0009478084975853562,0.002432296983897686,0.02930617146193981,-0.006302367430180311,-0.0005250758258625865,0.0005205383058637381,-0.017176821537171122,-0.02301631304243075,2.4262479914278217,0.5,2.0,nan,9999.0,4.993654410982756
